5sd	10sd	15sd	20sd	25sd	30sd	35sd	40sd
ENSG00000005194	0.183210190862313	0.22689232902799	0.225566144957317	0.223455472401267	0.196814653632782	0.17178192615736	0.157654206284774	0.0693547825953364
ENSG00000005206	0.164764015591302	0.1230718808939	0.0794820917054938	0.0593521506629169	0.0352436984108912	0.026809014964216	0.0207155524058393	0.00600308744533969
ENSG00000005238	0.171267744122091	0.139548231445546	0.145500297327564	0.122913107437323	0.10037393868221	0.0894666247615633	0.0544445820124307	0.0159347734516114
ENSG00000005243	0.127805048130357	0.0724673295527311	0.0557305624141107	0.0437710897051364	0.0341154964260188	0.0246521387258585	0.0175062974904597	0.00567750881638342
ENSG00000005249	0.16371190338147	0.105059676525119	0.0696276331317505	0.0394255298827225	0.036819376346724	0.0272476422610184	0.0125793071803678	0.00413272581303808
ENSG00000005302	0.226411767474744	0.209317814732113	0.166619055308082	0.117009578966495	0.0632480002345396	0.0450970732979284	0.0126754437376521	0.00305264891774148
ENSG00000005339	0.0904545489949707	0.0751029098250868	0.0493693525281729	0.045153436712035	0.0333330810636386	0.0201952355515166	0.0150630597818321	0.00449029390108775
ENSG00000005379	0.143393298330249	0.111813218035835	0.0778639225482072	0.0634360190922866	0.0539075522463897	0.0400702704082853	0.0357343905262804	0.00867116661646195
ENSG00000005381	0.187863421569444	0.11503790731287	0.0875608710276191	0.0534945888693649	0.0318730388108187	0.0236704638467809	0.0042524477806822	0.00193436924017862
ENSG00000005421	0.20655020805649	0.146855071716271	0.082616056997474	0.0619164967784533	0.0328356745830761	0.0229157562419554	0.0100345586382938	0.00231267579118744
ENSG00000005436	0.103914568757707	0.0662616332401507	0.0509882510715037	0.0450485653013211	0.0451811135631219	0.0358845709737947	0.0252216838108618	0.0125126984006403
ENSG00000005448	0.15923980040638	0.148861325345353	0.128142969347071	0.0886201946118535	0.0661910586506126	0.0354490107268064	0.0202116923163381	0.00366724431646641
ENSG00000005469	0.168382528280378	0.103933311940544	0.0823408191105901	0.0707837053847192	0.044937432166663	0.0431714493630478	0.0242408549522268	0.00564690318299023
ENSG00000005471	0.179249872857315	0.131890429002702	0.0978931772385515	0.100891403544371	0.0523899183595011	0.0466414361025267	0.0332713969631871	0.00909937860728141
ENSG00000005483	0.0993713238862392	0.0587232840084438	0.03652497238867	0.0365377560298114	0.0256940717332371	0.0215286090508036	0.0126086220422602	0.00487797987001792
ENSG00000005486	0.214956739594048	0.156079631203425	0.115283817276431	0.0895520919491391	0.0726446611749404	0.0426853143450874	0.0398650844068054	0.0105800041686581
ENSG00000005513	0.173783190327089	0.137531738301813	0.129450762480834	0.097164685437089	0.0892008136509762	0.0607930447670973	0.0134905046310798	0.00373984855963791
ENSG00000005700	0.146018723745459	0.144530465695101	0.10545452895611	0.0914311029285587	0.054697832714051	0.022822423673737	0.0126588147848337	0.00254446079129094
ENSG00000005801	0.126170975212129	0.0968617595454461	0.0811342548998682	0.0553339351482681	0.0454111213410116	0.0319441706189215	0.0230344837242744	0.00450175245887223
ENSG00000005810	0.122546083558617	0.104427448712307	0.100406485111873	0.0659882240732779	0.0589464443255463	0.0455933190669558	0.0368004688906678	0.00358568379334216
ENSG00000005812	0.129369025870629	0.0928800151526897	0.0759569433395941	0.0558734636937857	0.0474584944837167	0.0378241995735703	0.0220981980830776	0.0101788640403253
ENSG00000005844	0.19903856173756	0.163751933993685	0.0962416414682689	0.0396555131638514	0.0174159718466281	0.0165127680918252	0.0103268370136078	0.00374890444568118
ENSG00000005882	0.15996948547677	0.113642158786232	0.0934138086935802	0.083365257878371	0.0472053323851974	0.0255203676662677	0.0216387411414759	0.00969395414864026
ENSG00000005884	0.166859776560933	0.115061852308479	0.0597700547520992	0.0424935671194377	0.030828642902743	0.0233618895774012	0.0161463072422165	0.00620710700292711
ENSG00000005889	0.108857455380512	0.0852762968304152	0.0599646789099773	0.0363839877845575	0.0313976783983776	0.0191233145081733	0.0130414223980354	0.00471394594086787
ENSG00000005961	0.153570699833829	0.107092542136249	0.0707197330687629	0.056035148619063	0.0424888086481866	0.0342169754626269	0.018976526658801	0.00568772402622324
ENSG00000005981	0.188999431863149	0.110680636315202	0.0949823381388267	0.0734725175028329	0.0487293640818781	0.00825201894251385	0.00640494867034612	0.00359453878540429
ENSG00000006007	0.109185238897175	0.0744648936456811	0.0500336826472659	0.0345567546246642	0.0271525770236089	0.0180921466943015	0.0120844589832989	0.00465329191601336
ENSG00000006015	0.105595062503754	0.10532137890005	0.0986894834895346	0.0955381771922618	0.0777222367527874	0.0562078735147584	0.0441940752731948	0.018310208287469
ENSG00000006016	0.160154592221719	0.136341921491217	0.0884567755156371	0.0691375458273581	0.0472246028437492	0.0398071136203615	0.0178826090166281	0.00767156608376787
ENSG00000006025	0.164416082317156	0.10741442070413	0.0772255954034626	0.0549391202626483	0.0565336638592849	0.0214456040433029	0.0155789651024771	0.00685682028175532
ENSG00000006042	0.164017852959781	0.109666424081252	0.109534378055204	0.0992059650640733	0.0891546106360001	0.0742323598395005	0.0675803370764894	0.0169344001447657
ENSG00000006047	0.173729615258736	0.164370441701671	0.139839196897706	0.103980003148049	0.0800406081981272	0.0571414024196082	0.0435812295185837	0.0186986449456153
ENSG00000006059	0.233240621745661	0.106169405623974	0.0312478026259867	0.0208477960897139	0.0118840913845275	0.00786839699092542	0.00443118238062723	0.0012265479067776
ENSG00000006062	0.155409677891574	0.119987503051808	0.104601893860581	0.0752878994588887	0.0418657613278699	0.0184169847294571	0.0120512674527675	0.00442530542290674
ENSG00000006071	0.11784104533164	0.0823718787326669	0.0731282867647143	0.0542065954571925	0.044768487992469	0.0346716441894223	0.0268228903539539	0.00722394612550039
ENSG00000006116	0.251942064710968	0.199576498573496	0.146346734516344	0.0613271280068432	0.0480359591855602	0.0179931321736597	0.0261486565581134	0.00341507529387057
ENSG00000006118	0.164770032985971	0.113253395959472	0.10098628984078	0.0942018046971827	0.090738795827749	0.0712408640363715	0.0702584000142397	0.0162817961323241
ENSG00000006125	0.114232072431195	0.104570871289337	0.0901262759825761	0.0645047612575711	0.0641461660904953	0.0412657662496231	0.0348136605559625	0.00377176801161347
ENSG00000006128	0.127959618546834	0.0927014055551722	0.0615156643693665	0.0405254039082511	0.0309489238946929	0.0176624309475441	0.00845648607377135	0.00293245835875959
ENSG00000006194	0.102566987764026	0.0707108795112398	0.054717107533116	0.0415766071067275	0.0281863231853648	0.0199754085552713	0.0114396960679749	0.00449061319455384
ENSG00000006210	0.138761919085082	0.0783298661670055	0.0719890214408924	0.056961424401661	0.0458953686589438	0.0385649727277718	0.0229498044335432	0.00728824226210149
ENSG00000006282	0.187879892699371	0.173942002070046	0.147405631911001	0.129000873544896	0.115886768109831	0.100753281427249	0.089673868587159	0.0397134780069765
